State,Region,Population
Alaska,West,731545
Alabama,South,4903185
Arkansas,South,3017804
Arizona,West,7278717
California,West,39512223
Colorado,West,5758736
Connecticut,Northeast,3565287
District of Columbia,South,705749
Delaware,South,973764
Florida,South,21477737
Georgia,South,10617423
Hawaii,West,1415872
Iowa,Midwest,3155070
Idaho,West,1787065
Illinois,Midwest,12671821
Indiana,Midwest,6732219
Kansas,Midwest,2913314
Kentucky,South,4467673
Louisiana,South,4648794
Massachusetts,Northeast,6892503
Maryland,South,6045680
Maine,Northeast,1344212
Michigan,Midwest,9986857
Minnesota,Midwest,5639632
Missouri,Midwest,6626371
Mississippi,South,2976149
Montana,West,1068778
North Carolina,South,10488084
North Dakota,Midwest,762062
Nebraska,Midwest,1934408
New Hampshire,Northeast,1359711
New Jersey,Northeast,8882190
New Mexico,West,2096829
Nevada,West,3080156
New York,Northeast,23628065
Ohio,Midwest,11689100
Oklahoma,South,3956971
Oregon,West,4217737
Pennsylvania,Northeast,12801989
Rhode Island,Northeast,1059361
South Carolina,South,5148714
South Dakota,Midwest,884659
Tennessee,South,6829174
Texas,South,28995881
Utah,West,3205958
Virginia,South,8535519
Vermont,Northeast,623989
Washington,West,7614893
Wisconsin,Midwest,5822434
West Virginia,South,1792147
Wyoming,West,578759
